,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,"RESIDENTIAL
UNITS","COMMERCIAL
UNITS","TOTAL 
UNITS","LAND 
SQUARE FEET","GROSS 
SQUARE FEET",YEAR BUILT,TAX CLASS AT TIME OF SALE,"BUILDING CLASS
AT TIME OF SALE",SALE PRICE,SALE DATE
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16065,41,,A9,541 BEACH 72 STREET,,11692,1,0,1,"2,012","1,116",1960,1,A9,"373,867",9/6/23
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16078,12,,A1,341 BEACH 73 STREET,,11692,1,0,1,"3,000","1,548",1920,1,A1,"650,000",2/27/23
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16078,52,,A2,326 BEACH 74 STREET,,11692,1,0,1,"2,300",920,1920,1,A2,"605,000",11/22/23
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16079,45,,A1,350 BEACH 75TH STREET,,11692,1,0,1,"4,000","1,398",1920,1,A1,0,11/2/23
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,16081,23,,A1,333 BEACH 69TH STREET,,11692,1,0,1,"3,000","2,102",1920,1,A1,0,3/21/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15834,68,,B2,43-06 ROCKAWAY BEACH BLVD,,11691,2,0,2,"3,376","2,460",2006,1,B2,"1,000",2/24/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15834,68,,B2,4306 ROCKAWAY BEACH BLVD,,11691,2,0,2,"3,376","2,460",2006,1,B2,"590,000",4/26/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15835,61,,B2,339 BEACH 44TH STREET,,11691,2,0,2,"3,431","2,715",2022,1,B2,"999,000",7/25/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15836,18,,B2,44-06 ROCKAWAY BEACH BLVD,,11691,2,0,2,"3,348","2,460",2006,1,B2,"521,344",3/31/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15838,70,,B9,302 BEACH 47 STREET,,11691,2,0,2,"4,481","2,160",1960,1,B9,0,8/10/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15838,70,,B9,302 BEACH 47 STREET,,11691,2,0,2,"4,481","2,160",1960,1,B9,"390,000",2/27/23
4,ARVERNE,02 TWO FAMILY DWELLINGS,1,15839,6,,B2,322 BEACH 48TH STREET,,11691,2,0,2,951,"2,310",2005,1,B2,"585,494",3/22/23
